,Turkana,Marsabit,Mandera,Wajir,West Pokot,Samburu,Isiolo,Baringo,Keiyo-Marakwet,Trans Nzoia,Bungoma,Garissa,Uasin Gishu,Kakamega,Laikipia,Busia,Meru,Nandi,Siaya,Nakuru,Vihiga,Nyandarua,Tharaka,Kericho,Kisumu,Nyeri,Tana River,Kitui,Kirinyaga,Embu,Homa Bay,Bomet,Nyamira,Narok,Kisii,Murang'a,Migori,Kiambu,Machakos,Kajiado,Nairobi,Makueni,Lamu,Kilifi,Taita Taveta,Kwale,Mombasa,Offshore
2013-01-31,3.6066587,2.9988022,4.232174,3.7738473,3.0859385,3.7125278,3.9863036,3.8193157,2.5109847,2.2470167,2.5681705,4.3275847,2.905916,3.0669098,3.2327664,3.3845797,3.6838298,3.2513568,4.2153163,3.1260223,3.7252932,2.7637575,3.2876148,3.3015091,3.8661702,3.061129,4.017467,3.980409,2.6179821,3.1348982,4.8635044,4.35318,4.589538,3.7248738,4.850103,2.713349,4.8154044,2.4128706,3.2697449,2.667962,2.5617514,3.850068,5.792746,4.9522586,3.1841383,4.481463,7.545481,6.579557
2013-02-01,2.507025,3.3429406,6.091403,5.59336,2.0159047,2.4561315,3.6477396,2.925409,2.2179508,2.2719162,2.0150092,4.832413,1.823258,2.1409543,2.550178,2.9341567,2.3056514,2.1844578,4.162119,3.038467,2.6991386,3.0243416,2.505351,2.4612339,2.8646832,3.1578598,3.65699,2.6408246,2.5734107,2.2404776,4.0957203,3.4914663,3.3423457,2.8950925,3.5501957,2.5925703,3.944439,2.4122717,2.3114653,1.6419531,2.5146024,1.8858253,5.9426737,2.8239906,1.9191635,2.4291677,3.965289,5.191688
2013-02-02,3.0168297,3.3641548,6.014213,5.392641,3.1963685,3.284343,4.109582,3.44082,2.9262252,2.7016466,2.5600626,4.905266,3.2734466,2.7848365,3.4815826,2.942483,3.129853,3.2192292,3.3978374,3.2583423,2.1943526,3.1775537,3.3624601,3.3342562,2.4286091,3.1086035,4.3473096,3.7823126,3.3320532,3.8110242,3.1531165,2.7358716,2.7456152,2.4813063,2.9344673,3.9722703,3.2024405,3.3037837,4.064458,2.79384,3.1749487,3.2877784,5.9334946,3.5695548,2.5796382,3.2825491,4.6668277,5.4221787
2013-02-03,3.5187216,4.8968863,7.1908283,6.5540295,3.3201532,4.5153704,4.513625,2.5412767,3.3665466,2.9917336,2.6285949,4.6006556,4.2417502,2.808384,3.6305633,1.7311113,2.9373155,3.7480376,2.2827084,3.0550992,2.2033837,3.019257,2.6866963,3.029566,2.1449857,3.0254292,3.7192113,2.7436552,2.7436655,2.8344512,2.0039096,2.9103632,1.858738,2.7762632,1.9895308,2.592525,1.5394673,3.5314415,3.2492294,2.8904617,4.2936606,2.8839345,5.494804,3.9993775,2.7142987,3.1530948,4.934412,5.2036734
2013-02-04,5.5566745,6.83583,6.7185564,6.5208764,4.785685,5.8539886,5.34123,4.6501317,4.2856774,3.62115,3.9192271,4.953194,5.340185,4.619118,4.7176714,3.427063,4.0691137,5.082365,3.146519,4.461604,2.9042785,3.8275156,3.107674,4.548043,2.8847256,3.1088786,4.1879272,3.7733328,3.4983184,3.4847116,2.229722,3.7158134,2.759046,4.2994485,2.7730188,4.396521,2.4969015,5.6191006,4.7797813,4.054445,6.3433466,4.2027225,5.8310776,3.7437544,3.1312776,3.2030342,4.5153494,5.3508935
2013-02-05,5.440937,6.2220907,5.9712334,5.7371974,4.388586,5.169516,4.955746,3.1258843,3.6003718,2.81965,3.4221258,4.665126,5.083576,4.1597896,3.1026523,2.5837562,3.5449848,4.8694463,2.431751,3.596273,2.6485813,2.7049465,2.759024,3.8933232,2.4611819,2.137975,3.8525205,2.8542407,2.6215641,2.8559113,1.7757403,4.1895967,2.1285923,4.7098527,2.445616,3.0230167,2.3042119,3.8505268,3.134256,2.9267693,4.5444083,2.686062,6.0301538,4.126692,2.654911,2.9481118,4.871233,5.705931
2013-02-06,5.8657355,6.4195604,6.2727823,6.00471,4.5096345,5.4724994,5.021512,3.3942509,3.6839879,2.8017511,2.759791,4.678615,3.7186694,3.2221272,3.83708,3.4162579,3.3415468,3.3693738,3.128742,3.0399115,1.7804368,2.4892435,2.1775997,2.9969275,1.801293,1.9678069,3.9153006,3.1413748,2.0930746,2.6553764,1.9881668,2.8296502,1.8495016,3.599453,1.9797006,3.1588535,2.1739984,3.7876692,3.1873045,3.2435641,4.3309956,3.5344381,6.057456,4.1705546,2.9204504,3.2740529,5.4368296,5.9680862
2013-02-07,5.832769,6.693444,6.0065365,6.2255177,4.499934,5.5454903,5.2628345,3.1533961,3.690873,2.4850726,2.8041837,4.849677,4.5181537,3.303417,3.3507283,2.6124475,3.106516,4.2164054,2.7056894,3.1643503,1.6878761,2.273078,1.9087275,3.7098112,1.925063,1.7283396,4.2707357,3.5644443,2.1183197,2.3960674,2.57028,3.1650057,1.6640325,3.9642913,2.5883226,3.040081,3.4599972,4.311518,3.8688009,3.7218046,5.0780535,4.042792,6.106713,4.658934,3.6699274,4.2539005,5.838522,5.8991303
2013-02-08,5.537957,6.3664036,5.8732896,5.6011996,4.187283,5.412598,5.05426,3.469847,3.583675,2.3586538,2.8173695,4.129179,4.172729,3.6145296,3.3234997,3.4464219,3.195088,4.0083866,3.8909247,3.0227091,3.4141893,2.596517,2.4292884,3.07473,2.9884431,2.3630111,3.701924,3.4768822,2.5688617,2.7211883,2.746274,2.4655187,1.8336093,3.3497226,1.9818137,3.2971103,2.6685479,4.006774,3.7828085,3.4612405,4.6637774,3.832156,5.2249365,3.8811278,3.203242,3.4148214,4.8316364,5.2273645
2013-02-09,4.558219,5.554188,5.5171514,5.247702,3.143776,4.411029,4.420045,2.7658558,2.7930267,1.7278069,1.9994106,4.2208915,2.5942698,2.2645667,2.82787,2.6259167,3.1659942,2.528018,2.8100758,2.521906,2.183899,2.473414,2.9712949,2.2932756,2.0977128,2.0773282,3.8092518,3.1297252,2.170171,3.052714,2.5159247,2.5678415,2.3848817,3.006426,2.5147269,3.1993992,3.200748,3.6425693,3.7630813,3.1073327,4.2154655,3.257183,5.532147,4.295721,3.034783,3.804583,5.5956492,5.337837
